image_id,soil_type
img_ed005410.jpg,Alluvial soil
img_0c5ecd2a.jpg,Alluvial soil
img_ed713bb5.jpg,Alluvial soil
img_12c58874.jpg,Alluvial soil
img_eff357af.jpg,Alluvial soil
img_ebbd4d97.jpeg,Alluvial soil
img_61a4be9b.jpg,Alluvial soil
img_f8ee6267.jpg,Alluvial soil
img_903747fa.jpg,Alluvial soil
img_be9dc251.jpg,Alluvial soil
img_47b2a710.jpg,Alluvial soil
img_92d7778b.jpg,Alluvial soil
img_db1d9b5f.jpg,Alluvial soil
img_6030bc4f.jpg,Alluvial soil
img_dfcfbfe0.jpg,Alluvial soil
img_74efd1ac.jpg,Alluvial soil
img_20987a8c.jpg,Alluvial soil
img_1f23d3f3.jpg,Alluvial soil
img_320c82e1.jpg,Alluvial soil
img_6d534f12.jpg,Alluvial soil
img_5f7e14bc.jpg,Alluvial soil
img_b7b6b32e.jpg,Alluvial soil
img_a2893d09.jpg,Alluvial soil
img_da891064.jpg,Alluvial soil
img_0103e659.jpg,Alluvial soil
img_49c63308.jpg,Alluvial soil
img_56176675.jpg,Alluvial soil
img_3cffd144.jpg,Alluvial soil
img_8ea3e991.jpg,Alluvial soil
img_2fc1e4a4.jpg,Alluvial soil
img_2999ea3d.jpg,Alluvial soil
img_72a35d87.jpg,Alluvial soil
img_a3cd9404.jpeg,Alluvial soil
img_99d52376.jpg,Alluvial soil
img_8e00300b.jpg,Alluvial soil
img_e7979177.jpg,Alluvial soil
img_bd81c98e.jpg,Alluvial soil
img_c0b97a33.jpg,Alluvial soil
img_9f20ddcd.jpg,Alluvial soil
img_88eeaf0f.jpeg,Alluvial soil
img_66cc627d.jpg,Alluvial soil
img_f7163b04.jpg,Alluvial soil
img_bd21a9dc.jpg,Alluvial soil
img_34712a96.jpg,Alluvial soil
img_2a199495.jpg,Alluvial soil
img_2aafb5de.jpg,Alluvial soil
img_517b6ee4.jpg,Alluvial soil
img_4f2d133c.jpg,Alluvial soil
img_b68ce75a.jpg,Alluvial soil
img_a0b46dea.jpg,Alluvial soil
img_24b7f6b2.jpg,Alluvial soil
img_73da875a.jpg,Alluvial soil
img_e8818a57.jpg,Alluvial soil
img_4029a557.jpg,Alluvial soil
img_b5f207a5.jpg,Alluvial soil
img_fe088f63.jpg,Alluvial soil
img_e38c8db0.jpg,Alluvial soil
img_f154cefb.jpg,Alluvial soil
img_a4d3c585.jpg,Alluvial soil
img_b2cc1844.jpg,Alluvial soil
img_73cd5747.jpg,Alluvial soil
img_867f4b3c.jpg,Alluvial soil
img_7e49a666.jpg,Alluvial soil
img_aea66d19.jpg,Alluvial soil
img_60c43a62.jpg,Alluvial soil
img_0899b448.jpg,Alluvial soil
